title,id,arxiv_url,published,citation
"Weight Normalization: A Simple Reparameterization to Accelerate Training
  of Deep Neural Networks",1602.07868,http://arxiv.org/abs/1602.07868v3,2016-02-25T10:13:45Z,416
Optimization Methods for Large-Scale Machine Learning,1606.04838,http://arxiv.org/abs/1606.04838v3,2016-06-15T16:15:53Z,406
Highway Networks,1505.00387,http://arxiv.org/abs/1505.00387v2,2015-05-03T01:56:57Z,403
"Deeply learned face representations are sparse, selective, and robust",1412.1265,http://arxiv.org/abs/1412.1265v1,2014-12-03T10:37:13Z,392
"Learning Deep Feature Representations with Domain Guided Dropout for
  Person Re-identification",1604.07528,http://arxiv.org/abs/1604.07528v1,2016-04-26T05:39:53Z,387
"What Uncertainties Do We Need in Bayesian Deep Learning for Computer
  Vision?",1703.04977,http://arxiv.org/abs/1703.04977v2,2017-03-15T07:27:12Z,366
Semi-Supervised Learning with Ladder Networks,1507.02672,http://arxiv.org/abs/1507.02672v2,2015-07-09T19:52:19Z,365
Deep Convolutional Networks on Graph-Structured Data,1506.05163,http://arxiv.org/abs/1506.05163v1,2015-06-16T22:31:09Z,359
DeepID3: Face Recognition with Very Deep Neural Networks,1502.00873,http://arxiv.org/abs/1502.00873v1,2015-02-03T14:28:55Z,352
Wide & Deep Learning for Recommender Systems,1606.07792,http://arxiv.org/abs/1606.07792v1,2016-06-24T19:07:02Z,351
Reinforcement Learning with Unsupervised Auxiliary Tasks,1611.05397,http://arxiv.org/abs/1611.05397v1,2016-11-16T18:21:29Z,350
Action-Conditional Video Prediction using Deep Networks in Atari Games,1507.08750,http://arxiv.org/abs/1507.08750v2,2015-07-31T04:43:30Z,344
"Deep Convolutional Neural Fields for Depth Estimation from a Single
  Image",1411.6387,http://arxiv.org/abs/1411.6387v2,2014-11-24T09:13:00Z,337
Deep metric learning using Triplet network,1412.6622,http://arxiv.org/abs/1412.6622v4,2014-12-20T07:34:50Z,328
Sum-Product Networks: A New Deep Architecture,1202.3732,http://arxiv.org/abs/1202.3732v1,2012-02-14T16:41:17Z,321
Deep Learning using Linear Support Vector Machines,1306.0239,http://arxiv.org/abs/1306.0239v4,2013-06-02T18:46:58Z,315
"Generating Images with Perceptual Similarity Metrics based on Deep
  Networks",1602.02644,http://arxiv.org/abs/1602.02644v2,2016-02-08T16:50:28Z,312
Deep Learning without Poor Local Minima,1605.07110,http://arxiv.org/abs/1605.07110v3,2016-05-23T17:34:20Z,312
How to Construct Deep Recurrent Neural Networks,1312.6026,http://arxiv.org/abs/1312.6026v5,2013-12-20T16:39:39Z,308
"Learning Depth from Single Monocular Images Using Deep Convolutional
  Neural Fields",1502.07411,http://arxiv.org/abs/1502.07411v6,2015-02-26T01:26:22Z,307
"Hierarchical Deep Reinforcement Learning: Integrating Temporal
  Abstraction and Intrinsic Motivation",1604.06057,http://arxiv.org/abs/1604.06057v2,2016-04-20T18:47:48Z,306
On the Number of Linear Regions of Deep Neural Networks,1402.1869,http://arxiv.org/abs/1402.1869v2,2014-02-08T17:16:27Z,304
Deep Recurrent Q-Learning for Partially Observable MDPs,1507.06527,http://arxiv.org/abs/1507.06527v4,2015-07-23T15:16:46Z,302
Continuous Deep Q-Learning with Model-based Acceleration,1603.00748,http://arxiv.org/abs/1603.00748v1,2016-03-02T15:28:25Z,300
Searching for Exotic Particles in High-Energy Physics with Deep Learning,1402.4735,http://arxiv.org/abs/1402.4735v2,2014-02-19T17:20:08Z,283
Unsupervised Deep Embedding for Clustering Analysis,1511.06335,http://arxiv.org/abs/1511.06335v2,2015-11-19T20:06:14Z,277
Deep Gaussian Processes,1211.0358,http://arxiv.org/abs/1211.0358v2,2012-11-02T03:13:08Z,273
Deep Exploration via Bootstrapped DQN,1602.04621,http://arxiv.org/abs/1602.04621v3,2016-02-15T10:54:20Z,269
Geometric deep learning on graphs and manifolds using mixture model CNNs,1611.08402,http://arxiv.org/abs/1611.08402v3,2016-11-25T10:05:03Z,267
Deep Semantic Ranking Based Hashing for Multi-Label Image Retrieval,1501.06272,http://arxiv.org/abs/1501.06272v2,2015-01-26T07:33:40Z,256
Deep Image Retrieval: Learning global representations for image search,1604.01325,http://arxiv.org/abs/1604.01325v2,2016-04-05T16:48:17Z,251
An Overview of Multi-Task Learning in Deep Neural Networks,1706.05098,http://arxiv.org/abs/1706.05098v1,2017-06-15T21:38:12Z,250
Deep Reinforcement Learning that Matters,1709.06560,http://arxiv.org/abs/1709.06560v3,2017-09-19T06:09:47Z,249
Unsupervised Domain Adaptation with Residual Transfer Networks,1602.04433,http://arxiv.org/abs/1602.04433v2,2016-02-14T09:47:30Z,244
A guide to convolution arithmetic for deep learning,1603.07285,http://arxiv.org/abs/1603.07285v2,2016-03-23T17:52:21Z,236
Methods for Interpreting and Understanding Deep Neural Networks,1706.07979,http://arxiv.org/abs/1706.07979v1,2017-06-24T16:25:06Z,234
Representation Learning on Graphs: Methods and Applications,1709.05584,http://arxiv.org/abs/1709.05584v3,2017-09-17T00:19:33Z,232
"Co-occurrence Feature Learning for Skeleton based Action Recognition
  using Regularized Deep LSTM Networks",1603.07772,http://arxiv.org/abs/1603.07772v1,2016-03-24T22:43:55Z,229
"Deep clustering: Discriminative embeddings for segmentation and
  separation",1508.04306,http://arxiv.org/abs/1508.04306v1,2015-08-18T13:12:34Z,225
"Deep Predictive Coding Networks for Video Prediction and Unsupervised
  Learning",1605.08104,http://arxiv.org/abs/1605.08104v5,2016-05-25T23:58:55Z,224
Learning Deep Structure-Preserving Image-Text Embeddings,1511.06078,http://arxiv.org/abs/1511.06078v2,2015-11-19T07:17:49Z,223
Deep Transfer Learning with Joint Adaptation Networks,1605.06636,http://arxiv.org/abs/1605.06636v2,2016-05-21T12:56:14Z,221
"Deep Reinforcement Learning for Robotic Manipulation with Asynchronous
  Off-Policy Updates",1610.00633,http://arxiv.org/abs/1610.00633v2,2016-10-03T16:52:10Z,220
MagNet: a Two-Pronged Defense against Adversarial Examples,1705.09064,http://arxiv.org/abs/1705.09064v2,2017-05-25T06:49:57Z,218
Deep Learning of Representations: Looking Forward,1305.0445,http://arxiv.org/abs/1305.0445v2,2013-05-02T14:33:28Z,218
Deep Learning and the Information Bottleneck Principle,1503.02406,http://arxiv.org/abs/1503.02406v1,2015-03-09T09:39:41Z,218
All you need is a good init,1511.06422,http://arxiv.org/abs/1511.06422v7,2015-11-19T22:19:15Z,217
"Guided Cost Learning: Deep Inverse Optimal Control via Policy
  Optimization",1603.00448,http://arxiv.org/abs/1603.00448v3,2016-03-01T20:35:56Z,216
Deep Learning in Bioinformatics,1603.06430,http://arxiv.org/abs/1603.06430v5,2016-03-21T13:55:02Z,210
Deep CORAL: Correlation Alignment for Deep Domain Adaptation,1607.01719,http://arxiv.org/abs/1607.01719v1,2016-07-06T17:35:55Z,208
LIFT: Learned Invariant Feature Transform,1603.09114,http://arxiv.org/abs/1603.09114v2,2016-03-30T10:33:18Z,201
Deep Image Prior,1711.10925,http://arxiv.org/abs/1711.10925v3,2017-11-29T15:50:05Z,193
"Deep, Convolutional, and Recurrent Models for Human Activity Recognition
  using Wearables",1604.08880,http://arxiv.org/abs/1604.08880v1,2016-04-29T15:38:44Z,192
Auxiliary Deep Generative Models,1602.05473,http://arxiv.org/abs/1602.05473v4,2016-02-17T16:24:50Z,192
Towards Good Practices for Very Deep Two-Stream ConvNets,1507.02159,http://arxiv.org/abs/1507.02159v1,2015-07-08T14:00:35Z,187
"Explaining NonLinear Classification Decisions with Deep Taylor
  Decomposition",1512.02479,http://arxiv.org/abs/1512.02479v1,2015-12-08T14:25:29Z,187
Recent Trends in Deep Learning Based Natural Language Processing,1708.02709,http://arxiv.org/abs/1708.02709v8,2017-08-09T04:02:17Z,186
"Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry
  and Semantics",1705.07115,http://arxiv.org/abs/1705.07115v3,2017-05-19T17:56:57Z,185
"CSI-based Fingerprinting for Indoor Localization: A Deep Learning
  Approach",1603.07080,http://arxiv.org/abs/1603.07080v1,2016-03-23T06:53:55Z,184
Learning to reinforcement learn,1611.05763,http://arxiv.org/abs/1611.05763v3,2016-11-17T16:29:11Z,182
Provable Bounds for Learning Some Deep Representations,1310.6343,http://arxiv.org/abs/1310.6343v1,2013-10-23T19:49:32Z,182
End-to-end Learning of Driving Models from Large-scale Video Datasets,1612.01079,http://arxiv.org/abs/1612.01079v2,2016-12-04T07:02:52Z,179
Feature Learning based Deep Supervised Hashing with Pairwise Labels,1511.03855,http://arxiv.org/abs/1511.03855v2,2015-11-12T11:11:42Z,176
Deep Learning based Recommender System: A Survey and New Perspectives,1707.07435,http://arxiv.org/abs/1707.07435v7,2017-07-24T08:23:26Z,176
Why does deep and cheap learning work so well?,1608.08225,http://arxiv.org/abs/1608.08225v4,2016-08-29T20:00:14Z,176
"Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement
  Learning with a Stochastic Actor",1801.01290,http://arxiv.org/abs/1801.01290v2,2018-01-04T09:50:50Z,175
Understanding Deep Convolutional Networks,1601.04920,http://arxiv.org/abs/1601.04920v1,2016-01-19T13:40:47Z,174
Pedestrian Detection aided by Deep Learning Semantic Tasks,1412.0069,http://arxiv.org/abs/1412.0069v1,2014-11-29T04:34:23Z,173
Deep Reinforcement Learning: An Overview,1701.07274,http://arxiv.org/abs/1701.07274v6,2017-01-25T11:52:11Z,172
Learning to Compare: Relation Network for Few-Shot Learning,1711.06025,http://arxiv.org/abs/1711.06025v2,2017-11-16T11:01:51Z,171
Exploring Generalization in Deep Learning,1706.08947,http://arxiv.org/abs/1706.08947v2,2017-06-27T17:20:06Z,171
A Review on Deep Learning Techniques Applied to Semantic Segmentation,1704.06857,http://arxiv.org/abs/1704.06857v1,2017-04-22T23:37:43Z,171
Actor-Mimic: Deep Multitask and Transfer Reinforcement Learning,1511.06342,http://arxiv.org/abs/1511.06342v4,2015-11-19T20:17:27Z,169
iCaRL: Incremental Classifier and Representation Learning,1611.07725,http://arxiv.org/abs/1611.07725v2,2016-11-23T10:24:11Z,167
Optical Flow Estimation using a Spatial Pyramid Network,1611.00850,http://arxiv.org/abs/1611.00850v2,2016-11-03T00:10:42Z,167
End-to-End Learning of Geometry and Context for Deep Stereo Regression,1703.04309,http://arxiv.org/abs/1703.04309v1,2017-03-13T10:00:52Z,166
"Predicting Deep Zero-Shot Convolutional Neural Networks using Textual
  Descriptions",1506.00511,http://arxiv.org/abs/1506.00511v2,2015-06-01T14:37:06Z,164
Deep Learning for Identifying Metastatic Breast Cancer,1606.05718,http://arxiv.org/abs/1606.05718v1,2016-06-18T04:00:31Z,163
Sim-to-Real Robot Learning from Pixels with Progressive Nets,1610.04286,http://arxiv.org/abs/1610.04286v2,2016-10-13T22:42:10Z,163
Playing FPS Games with Deep Reinforcement Learning,1609.05521,http://arxiv.org/abs/1609.05521v2,2016-09-18T17:52:28Z,161
Deep Image: Scaling up Image Recognition,1501.02876,http://arxiv.org/abs/1501.02876v5,2015-01-13T03:42:24Z,159
Quantum-Chemical Insights from Deep Tensor Neural Networks,1609.08259,http://arxiv.org/abs/1609.08259v4,2016-09-27T05:17:34Z,159
Pose-driven Deep Convolutional Model for Person Re-identification,1709.08325,http://arxiv.org/abs/1709.08325v1,2017-09-25T05:36:39Z,159
Variational Graph Auto-Encoders,1611.07308,http://arxiv.org/abs/1611.07308v1,2016-11-21T11:37:17Z,159
Deep Spatial Autoencoders for Visuomotor Learning,1509.06113,http://arxiv.org/abs/1509.06113v3,2015-09-21T06:15:12Z,158
Hands Deep in Deep Learning for Hand Pose Estimation,1502.06807,http://arxiv.org/abs/1502.06807v2,2015-02-24T13:39:55Z,158
Joint Deep Modeling of Users and Items Using Reviews for Recommendation,1701.04783,http://arxiv.org/abs/1701.04783v1,2017-01-17T17:46:04Z,154
"Power of Deep Learning for Channel Estimation and Signal Detection in
  OFDM Systems",1708.08514,http://arxiv.org/abs/1708.08514v1,2017-08-28T20:34:50Z,153
Adding Gradient Noise Improves Learning for Very Deep Networks,1511.06807,http://arxiv.org/abs/1511.06807v1,2015-11-21T01:11:29Z,152
An Empirical Evaluation of Deep Learning on Highway Driving,1504.01716,http://arxiv.org/abs/1504.01716v3,2015-04-07T19:41:59Z,151
Massively Parallel Methods for Deep Reinforcement Learning,1507.04296,http://arxiv.org/abs/1507.04296v2,2015-07-15T16:56:56Z,150
Sharp Minima Can Generalize For Deep Nets,1703.04933,http://arxiv.org/abs/1703.04933v2,2017-03-15T05:12:25Z,149
RL$^2$: Fast Reinforcement Learning via Slow Reinforcement Learning,1611.02779,http://arxiv.org/abs/1611.02779v2,2016-11-09T00:13:29Z,148
Deep Bayesian Active Learning with Image Data,1703.02910,http://arxiv.org/abs/1703.02910v1,2017-03-08T16:53:57Z,146
"Threat of Adversarial Attacks on Deep Learning in Computer Vision: A
  Survey",1801.00553,http://arxiv.org/abs/1801.00553v3,2018-01-02T05:22:06Z,145
Joint Unsupervised Learning of Deep Representations and Image Clusters,1604.03628,http://arxiv.org/abs/1604.03628v3,2016-04-13T01:24:59Z,145
"DeepID-Net: Deformable Deep Convolutional Neural Networks for Object
  Detection",1412.5661,http://arxiv.org/abs/1412.5661v2,2014-12-17T22:41:35Z,143
Cyclical Learning Rates for Training Neural Networks,1506.01186,http://arxiv.org/abs/1506.01186v6,2015-06-03T09:54:31Z,143
"Deep Neuroevolution: Genetic Algorithms Are a Competitive Alternative
  for Training Deep Neural Networks for Reinforcement Learning",1712.06567,http://arxiv.org/abs/1712.06567v3,2017-12-18T18:22:05Z,142
"Learning Deep Representation for Face Alignment with Auxiliary
  Attributes",1408.3967,http://arxiv.org/abs/1408.3967v4,2014-08-18T10:34:29Z,142
"Neural Network Dynamics for Model-Based Deep Reinforcement Learning with
  Model-Free Fine-Tuning",1708.02596,http://arxiv.org/abs/1708.02596v2,2017-08-08T18:13:03Z,142
"Deep Saliency with Encoded Low level Distance Map and High Level
  Features",1604.05495,http://arxiv.org/abs/1604.05495v1,2016-04-19T10:07:16Z,142
"Language Understanding for Text-based Games Using Deep Reinforcement
  Learning",1506.08941,http://arxiv.org/abs/1506.08941v2,2015-06-30T05:51:11Z,140
Learning Deep Structured Models,1407.2538,http://arxiv.org/abs/1407.2538v3,2014-07-09T15:54:27Z,139
Deep Learning: A Critical Appraisal,1801.00631,http://arxiv.org/abs/1801.00631v1,2018-01-02T12:49:35Z,139
Imagination-Augmented Agents for Deep Reinforcement Learning,1707.06203,http://arxiv.org/abs/1707.06203v2,2017-07-19T17:12:56Z,138
Evolving Deep Neural Networks,1703.00548,http://arxiv.org/abs/1703.00548v2,2017-03-01T23:40:42Z,138
"Variational Autoencoder for Deep Learning of Images, Labels and Captions",1609.08976,http://arxiv.org/abs/1609.08976v1,2016-09-28T15:56:15Z,137
Semi-Supervised Deep Learning for Monocular Depth Map Prediction,1702.02706,http://arxiv.org/abs/1702.02706v3,2017-02-09T05:08:22Z,136
Exponential expressivity in deep neural networks through transient chaos,1606.05340,http://arxiv.org/abs/1606.05340v2,2016-06-16T19:59:57Z,135
Deep Kernel Learning,1511.02222,http://arxiv.org/abs/1511.02222v1,2015-11-06T20:38:08Z,134
Geometric Loss Functions for Camera Pose Regression with Deep Learning,1704.00390,http://arxiv.org/abs/1704.00390v2,2017-04-02T23:58:22Z,133
Towards Open Set Deep Networks,1511.06233,http://arxiv.org/abs/1511.06233v1,2015-11-19T16:13:55Z,131
Learning to Deblur,1406.7444,http://arxiv.org/abs/1406.7444v1,2014-06-28T21:56:31Z,131
Video Frame Synthesis using Deep Voxel Flow,1702.02463,http://arxiv.org/abs/1702.02463v2,2017-02-08T15:20:14Z,130
Deep Fried Convnets,1412.7149,http://arxiv.org/abs/1412.7149v4,2014-12-22T20:53:30Z,127
"Embedding Deep Metric for Person Re-identication A Study Against Large
  Variations",1611.00137,http://arxiv.org/abs/1611.00137v1,2016-11-01T06:03:48Z,127
Identity Matters in Deep Learning,1611.04231,http://arxiv.org/abs/1611.04231v3,2016-11-14T02:44:18Z,123
"TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep
  Learning",1705.07878,http://arxiv.org/abs/1705.07878v6,2017-05-22T17:42:15Z,123
"Learning Deep Representations of Appearance and Motion for Anomalous
  Event Detection",1510.01553,http://arxiv.org/abs/1510.01553v1,2015-10-06T12:42:55Z,122
Learning Activation Functions to Improve Deep Neural Networks,1412.6830,http://arxiv.org/abs/1412.6830v3,2014-12-21T20:20:21Z,121
Learning a Deep Embedding Model for Zero-Shot Learning,1611.05088,http://arxiv.org/abs/1611.05088v4,2016-11-15T22:51:43Z,120
DeepFM: A Factorization-Machine based Neural Network for CTR Prediction,1703.04247,http://arxiv.org/abs/1703.04247v1,2017-03-13T04:55:19Z,120
Supervised Speech Separation Based on Deep Learning: An Overview,1708.07524,http://arxiv.org/abs/1708.07524v2,2017-08-24T18:51:50Z,119
Learning feed-forward one-shot learners,1606.05233,http://arxiv.org/abs/1606.05233v1,2016-06-16T15:49:26Z,119
Adversarial Examples: Attacks and Defenses for Deep Learning,1712.07107,http://arxiv.org/abs/1712.07107v3,2017-12-19T18:44:07Z,118
A Brief Survey of Deep Reinforcement Learning,1708.05866,http://arxiv.org/abs/1708.05866v2,2017-08-19T15:55:31Z,118
Deep AutoRegressive Networks,1310.8499,http://arxiv.org/abs/1310.8499v2,2013-10-31T13:47:30Z,118
"A Combined Deep-Learning and Deformable-Model Approach to Fully
  Automatic Segmentation of the Left Ventricle in Cardiac MRI",1512.07951,http://arxiv.org/abs/1512.07951v1,2015-12-25T03:35:15Z,118
"Protein secondary structure prediction using deep convolutional neural
  fields",1512.00843,http://arxiv.org/abs/1512.00843v3,2015-12-02T01:53:57Z,118
Deep learning for neuroimaging: a validation study,1312.5847,http://arxiv.org/abs/1312.5847v3,2013-12-20T08:30:55Z,117
A Deep Hierarchical Approach to Lifelong Learning in Minecraft,1604.07255,http://arxiv.org/abs/1604.07255v3,2016-04-25T13:45:50Z,116
"An exact mapping between the Variational Renormalization Group and Deep
  Learning",1410.3831,http://arxiv.org/abs/1410.3831v1,2014-10-14T20:00:09Z,116
Robust Face Recognition via Multimodal Deep Face Representation,1509.00244,http://arxiv.org/abs/1509.00244v1,2015-09-01T12:09:06Z,116
A Closer Look at Memorization in Deep Networks,1706.05394,http://arxiv.org/abs/1706.05394v2,2017-06-16T18:11:09Z,116
Sampling Matters in Deep Embedding Learning,1706.07567,http://arxiv.org/abs/1706.07567v2,2017-06-23T05:14:55Z,115
"Permutation Invariant Training of Deep Models for Speaker-Independent
  Multi-talker Speech Separation",1607.00325,http://arxiv.org/abs/1607.00325v2,2016-07-01T17:34:16Z,113
Deep Learning for Hate Speech Detection in Tweets,1706.00188,http://arxiv.org/abs/1706.00188v1,2017-06-01T07:25:22Z,113
Single-Channel Multi-Speaker Separation using Deep Clustering,1607.02173,http://arxiv.org/abs/1607.02173v1,2016-07-07T21:06:48Z,113
Distral: Robust Multitask Reinforcement Learning,1707.04175,http://arxiv.org/abs/1707.04175v1,2017-07-13T15:24:20Z,113
One-Shot Generalization in Deep Generative Models,1603.05106,http://arxiv.org/abs/1603.05106v2,2016-03-16T14:10:00Z,112
"Deep Models Under the GAN: Information Leakage from Collaborative Deep
  Learning",1702.07464,http://arxiv.org/abs/1702.07464v3,2017-02-24T05:00:37Z,112
End-to-end Learning of Deep Visual Representations for Image Retrieval,1610.07940,http://arxiv.org/abs/1610.07940v2,2016-10-25T16:02:42Z,112
"Computing Nonvacuous Generalization Bounds for Deep (Stochastic) Neural
  Networks with Many More Parameters than Training Data",1703.11008,http://arxiv.org/abs/1703.11008v2,2017-03-31T17:56:41Z,111
Benchmarking State-of-the-Art Deep Learning Software Tools,1608.07249,http://arxiv.org/abs/1608.07249v7,2016-08-25T18:48:16Z,110
Deep Transfer Learning for Person Re-identification,1611.05244,http://arxiv.org/abs/1611.05244v2,2016-11-16T12:14:09Z,110
"Deep Gradient Compression: Reducing the Communication Bandwidth for
  Distributed Training",1712.01887,http://arxiv.org/abs/1712.01887v2,2017-12-05T19:48:11Z,110
Deep Sets,1703.06114,http://arxiv.org/abs/1703.06114v3,2017-03-10T21:02:53Z,110
"Stabilising Experience Replay for Deep Multi-Agent Reinforcement
  Learning",1702.08887,http://arxiv.org/abs/1702.08887v3,2017-02-28T17:56:41Z,109
Learning Deep Embeddings with Histogram Loss,1611.00822,http://arxiv.org/abs/1611.00822v1,2016-11-02T21:48:32Z,109
"DeepSentiBank: Visual Sentiment Concept Classification with Deep
  Convolutional Neural Networks",1410.8586,http://arxiv.org/abs/1410.8586v1,2014-10-30T22:57:12Z,108
Multiagent Cooperation and Competition with Deep Reinforcement Learning,1511.08779,http://arxiv.org/abs/1511.08779v1,2015-11-27T20:01:45Z,107
Deep Cross-Modal Hashing,1602.02255,http://arxiv.org/abs/1602.02255v2,2016-02-06T13:43:24Z,106
"AtomNet: A Deep Convolutional Neural Network for Bioactivity Prediction
  in Structure-based Drug Discovery",1510.02855,http://arxiv.org/abs/1510.02855v1,2015-10-10T00:09:00Z,106
Error bounds for approximations with deep ReLU networks,1610.01145,http://arxiv.org/abs/1610.01145v3,2016-10-03T23:08:22Z,106
A Unified Deep Neural Network for Speaker and Language Recognition,1504.00923,http://arxiv.org/abs/1504.00923v1,2015-04-03T19:57:06Z,106
Learning by tracking: Siamese CNN for robust target association,1604.07866,http://arxiv.org/abs/1604.07866v3,2016-04-26T21:42:51Z,105
Learning to Remember Rare Events,1703.03129,http://arxiv.org/abs/1703.03129v1,2017-03-09T04:36:15Z,105
Continual Learning with Deep Generative Replay,1705.08690,http://arxiv.org/abs/1705.08690v3,2017-05-24T10:37:38Z,105
Structured Transforms for Small-Footprint Deep Learning,1510.01722,http://arxiv.org/abs/1510.01722v1,2015-10-06T19:42:22Z,104
Learning the Number of Neurons in Deep Networks,1611.06321,http://arxiv.org/abs/1611.06321v3,2016-11-19T07:18:17Z,104
A Deep Learning Approach to Structured Signal Recovery,1508.04065,http://arxiv.org/abs/1508.04065v1,2015-08-17T15:46:09Z,103
"Maximum-Margin Structured Learning with Deep Networks for 3D Human Pose
  Estimation",1508.06708,http://arxiv.org/abs/1508.06708v1,2015-08-27T03:21:15Z,102
Reducing Overfitting in Deep Networks by Decorrelating Representations,1511.06068,http://arxiv.org/abs/1511.06068v4,2015-11-19T06:23:09Z,102
"Why and When Can Deep -- but Not Shallow -- Networks Avoid the Curse of
  Dimensionality: a Review",1611.00740,http://arxiv.org/abs/1611.00740v5,2016-11-02T19:35:52Z,102
